ID;Ciudad;Estrato;Edad;Sexo;Estado Civil;Educación;Religión;Hijos;N° Hijos;Ocupación;Ingresos;¿Cuántas personas viven en su casa, incluido usted?;Café instantáneo;Margarina;Café molido;Carnes frías;Chocolate en pastilla;Calzado Deportivo;Jugos;Aguaembotellada;Gaseosas;Bebidasachocolatadasinstantánea;Ron;Cervezas;Cigarrillos;Aguardiente;Whisky;Vodka;Jabones para el cuerpo;Cremas faciales;Cremas corporales;Jabones faciales;Champú;Cremas de afeitar;Pañales para adultos;Pañales para niños;Tampones;Protectores diarios;Toallas higiénicas;Protector solar;Ropa Casual;Desodorantes;Preservativos;Vehículos;Ropa Deportiva;Calzado Casual;Reproductores de Audio Portátiles (mp3/mp4);Equipos Celulares;Computadores;Siento que la publicidad ha invadido todos mis espacios;Utilizo frases de comerciales para expresarme ;Cuando hay una campaña publicitaria que me llama la atención suelo comentarlo con mis amigos;Creo que la publicidad produce una exageración en el consumo de productos;Creo que la publicidad impone modas;Hay publicidad que me ha cambiado la forma de pensar respecto a situaciones de la vida;Creo que la publicidad impone modelos de belleza ;Creo que cualquier persona puede hacer publicidad ;Suelo cantar las canciones de los comerciales;Confío en lo que las empresas prometen a través de la publicidad.;Si aparece una persona famosa en un comercial, me da más confianza el producto.;Me parece que la publicidad exagera todo.;Cuando me gusta un comercial, me intereso más por el producto que ofrece;Sólo compro productos de marcas que hacen publicidad;La publicidad colombiana no invita a comprar
5777;Ciudad 1;4;45 - 54;Femenino;Viudo(a);Bachillerato;1.   Católico;Con Hijos;2;9.   Se dedica al hogar;No poseo ingresos propios;3;nescafe;la fina;colcafe;zenu;cruz;;;brisa;;milo;;;;;;;protex;nr;lubriderm;nr;;nr;nr;nr;nr;nr;nr;nr;nr;lady speed stick;nr;mazda;nr;nr;nr;nokia;clones;2;2;2;2;3;2;4;2;4;3;3;2;2;2;4
5778;Ciudad 1;4;45 - 54;Femenino;Casado(a);Técnico / Tecnológico;1.   Católico;Con Hijos;3;8.   Pensionado;Menos de  $ 500.000;5;nescafe;la fina;sello rojo;17;luker;;hit;oasis;;milo;;;boston;antioqueño;;;piropo;ponds;nivea;yanbal;;nr;nr;nr;nr;nr;nr;tanga;nr;lady speed stick;nr;mazda;tennis;nr;panasonic;nokia;accer;2;4;2;2;4;2;2;3;2;2;2;4;2;2;4
5779;Ciudad 1;4;45 - 54;Femenino;Casado(a);Bachillerato;1.   Católico;Con Hijos;2;1.   Trabaja dependientemente (empleado);$ 501.000 -- $ 1´000.000;4;nescafe;marcas propias supermercados;la bastilla;ranchera;luker;;;;cocacola;;;;;;;;palmolive;acid mantle;nr;nr;;nr;nr;nr;nr;nr;nr;otras;cualquiera/generica;arden for men;nr;nr;cualquiera/generica;cualquiera;nr;comcel;clones;4;2;4;4;4;2;2;3;4;2;2;2;3;2;4
5780;Ciudad 1;4;45 - 54;Femenino;Soltero(a);Bachillerato;1.   Católico;Sin Hijos;0;4.  Venta directa (por catalogo);Menos de  $ 500.000;1;colcafe;rama;nr;zenu;nr;;tuttifrutti;h2oh;postobon;chocolisto;;pielsen;kool;;;;dove;41;nr;dove;;nr;nr;nr;nr;nr;nr;tanga;cualquiera/generica;dove;nr;nr;reebok;cualquiera;nr;nr;nr;4;2;4;4;2;2;4;4;2;4;2;4;2;4;2
5781;Ciudad 1;4;55 - 60;Femenino;Casado(a);Bachillerato;1.   Católico;Con Hijos;1;2.   Trabaja independientemente (informal);$ 501.000 -- $ 1´000.000;3;nr;rama;nr;ranchera;luker;;20;h2oh;postobon;milo;;;;;;;palmolive;ponds;nr;dove;;nr;nr;nr;nr;nr;nr;otras;cualquiera/generica;lady speed stick;nr;nr;cualquiera/generica;cualquiera;nr;comcel;nr;3;3;4;4;4;2;4;4;2;2;2;4;2;4;4
5782;Ciudad 1;4;55 - 60;Femenino;Soltero(a);Primaria;1.   Católico;Con Hijos;2;9.   Se dedica al hogar;No poseo ingresos propios;3;nescafe;rama;colcafe;zenu;cruz;;hit;brisa;;milo;;;boston;;;;rexona;triple accion;nr;nr;;nr;nr;nr;nr;nr;nr;nr;nr;rexona;nr;nr;nr;nr;sony;nokia;clones;2;2;2;2;4;2;2;2;4;3;2;4;2;2;4
5783;Ciudad 1;4;61 - 70;Femenino;Casado(a);Bachillerato;1.   Católico;Con Hijos;2;9.   Se dedica al hogar;No poseo ingresos propios;4;nescafe;rama;sello rojo;zenu;cruz;;hit;brisa;cocacola;milo;;aguila;;;;;lux;nr;nr;nr;;nr;nr;nr;nr;nr;nr;tanga;nr;rexona;nr;mazda;tennis;nr;nr;nokia;nr;2;2;2;2;2;2;2;4;3;3;3;2;2;2;2
5784;Ciudad 1;3;13 - 16;Masculino;Soltero(a);Bachillerato;2.   Cristiano no católico;Sin Hijos;0;5.    Estudia;No poseo ingresos propios;5;nescafe;la fina;nr;zenu;tesalia;;delvalle;;postobon;chocolisto;;;;;;;cristalino;nr;vasenol;nr;;nr;nr;nr;nr;nr;nr;nr;nr;nr;nr;nr;nr;op;gigatech;nr;nr;4;2;4;4;5;4;4;4;2;4;2;4;2;2;2
5785;Ciudad 1;3;13 - 16;Masculino;Soltero(a);Bachillerato;1.   Católico;Sin Hijos;0;5.    Estudia;No poseo ingresos propios;3;nr;nr;nr;zenu;nr;;hit;brisa;cocacola;;;;;;;;protex;nr;nr;nr;;nr;nr;nr;nr;nr;nr;nr;nr;rexona;nr;nr;adidas;nr;nr;tigo;compaq;5;1;5;5;5;5;5;1;5;5;1;5;5;5;1
5786;Ciudad 1;3;17 - 24;Masculino;Soltero(a);Bachillerato;7.   Ninguna;Sin Hijos;0;9.   Se dedica al hogar;Menos de  $ 500.000;2;nescafe;marcas propias supermercados;nr;nr;sol;;;;postobon;milo;medellin;pielsen;;antioqueño;;;j&j;nr;nr;nr;;nr;nr;nr;nr;nr;nr;nr;cualquiera/generica;axe;nr;nr;puma;nr;nr;sony ericsson;lg;1;1;1;5;5;1;5;5;1;1;1;1;5;1;5
5787;Ciudad 1;3;25 - 34;Masculino;Casado(a);Técnico / Tecnológico;1.   Católico;Con Hijos;1;2.   Trabaja independientemente (informal);$ 1´001.000 -- $ 2,000.000;5;nescafe;rama;nr;rica;luker;;hit;;postobon;chocolisto;;aguila;;antioqueño;;;rexona;nr;nr;j&j;;gillette;nr;nr;nr;nr;nr;nr;levis;balance;nr;nr;nr;nr;nr;nokia;dell;2;4;4;4;4;4;4;2;1;2;2;4;4;2;3
5788;Ciudad 1;3;25 - 34;Masculino;Soltero(a);Pregrado;1.   Católico;Sin Hijos;0;2.   Trabaja independientemente (informal);$ 501.000 -- $ 1´000.000;2;la bastilla;nr;nr;zenu;luker;;hit;brisa;cocacola;chocolisto;viejodecaldas;costeña;;;buchannans;;protex;nr;nr;nr;;amway;nr;nr;nr;nr;nr;nr;nr;amway;today;nr;nr;nr;nr;motorola;lenovo;3;2;1;3;2;3;2;2;2;4;4;2;3;4;3
5789;Ciudad 1;3;25 - 34;Masculino;Soltero(a);Bachillerato;1.   Católico;Sin Hijos;0;7.   Busca empleo;No poseo ingresos propios;3;nescafe;rama;nr;zenu;luker;;delvalle;;cocacola;;medellin;aguila;;;;;protex;nr;nr;nr;;gillette;nr;nr;nr;nr;nr;nr;nr;gillete;nr;nr;adidas;nr;nr;nokia;nr;4;4;4;3;2;4;1;5;5;4;5;2;4;4;4
5790;Ciudad 1;3;35 - 44;Masculino;Soltero(a);Primaria;2.   Cristiano no católico;Con Hijos;3;7.   Busca empleo;No poseo ingresos propios;3;nescafe;rama;nr;zenu;luker;;delvalle;brisa;postobon;chocolisto;;pielsen;;;;;rexona;nr;nr;nr;;nr;nr;nr;nr;nr;nr;nr;nr;rexona;nr;nr;nr;nr;nr;nokia;nr;5;1;5;5;5;1;5;5;1;1;2;5;5;5;1
5791;Ciudad 1;3;35 - 44;Masculino;Casado(a);Pregrado;2.   Cristiano no católico;Con Hijos;2;2.   Trabaja independientemente (informal);$ 501.000 -- $ 1´000.000;4;nescafe;la buena;nescafe;zenu;nr;;tuttifrutti;;cocacola;;;pielsen;;;;;j&j;nr;nr;nr;;otras;nr;nr;nr;nr;nr;sundown;nr;gillete;nr;nr;gef;nr;lg;samsung;clones;5;1;1;5;5;1;5;1;3;2;1;5;1;1;5
5792;Ciudad 1;3;45 - 54;Masculino;Soltero(a);Bachillerato;1.   Católico;Sin Hijos;0;2.   Trabaja independientemente (informal);$ 501.000 -- $ 1´000.000;4;colcafe;marcas propias supermercados;nr;marcas propias supermercados;luker;;hit;cristal;cocacola;chocolisto;medellin;pielsen;;antioqueño;oldparr;;palmolive;nr;nr;j&j;;nr;nr;nr;ob;nr;nr;yanbal;ragged;rexona;nr;renault;otras;bata;nr;nokia;samsung;5;5;1;1;1;5;1;1;5;5;5;1;5;5;1
